Sheet,Board,Section,IC,IC Type,Pin Number,Pin Function,Active Low,Connected To,Direction,Confidence,Reviewer Notes
3B,Master,Playfield Character Latch,4K,74LS273,12,Q4 output,N,PFP4,Output,Check,Visible output label
3B,Master,Playfield Character Latch,4K,74LS273,13,D4 input,N,PFD4,Input,Check,Visible input label
3B,Master,Playfield Character Latch,4K,74LS273,14,D5 input,N,PFD5,Input,Check,Visible input label
3B,Master,Playfield Character Latch,4K,74LS273,15,Q5 output,N,PFP5,Output,Check,Visible output label
3B,Master,Playfield Character Latch,4K,74LS273,16,Q6 output,N,PFP6,Output,Check,Visible output label
3B,Master,Playfield Character Latch,4K,74LS273,17,D6 input,N,PFD6,Input,Check,Visible input label
3B,Master,Playfield Character Latch,4K,74LS273,18,D7 input,N,PFD7,Input,Check,Visible input label
3B,Master,Playfield Character Latch,4K,74LS273,19,Q7 output,N,PFP7,Output,Check,Visible output label
3B,Master,Playfield Character ROM,5N,2532,1,Address input,N,PFP1,Input,Check,Visible address label; confirm pin/order on ROM crop
3B,Master,Playfield Character ROM,5N,2532,2,Address input,N,PFP4,Input,Check,Visible address label; confirm pin/order on ROM crop
3B,Master,Playfield Character ROM,5N,2532,3,Address input,N,PFP2,Input,Check,Visible address label; confirm pin/order on ROM crop
3B,Master,Playfield Character ROM,5N,2532,4,Address input,N,PFP0,Input,Check,Visible address label; confirm pin/order on ROM crop
3B,Master,Playfield Character ROM,5N,2532,5,Address input,N,CUSC,Input,Check,Visible address label
3B,Master,Playfield Character ROM,5N,2532,6,Address input,N,CUSB,Input,Check,Visible address label
3B,Master,Playfield Character ROM,5N,2532,7,Address input,N,CUSA,Input,Check,Visible address label
3B,Master,Playfield Character ROM,5N,2532,8,Address input,N,4H**,Input,Check,Visible address label
3B,Master,Playfield Character ROM,5N,2532,9,Data output,N,ROM data bit to LS194 input,Output,Check,Output label is small in crop; confirm exact A/B/C/D bit
3B,Master,Playfield Character ROM,5N,2532,10,Data output,N,ROM data bit to LS194 input,Output,Check,Output label is small in crop; confirm exact A/B/C/D bit
3B,Master,Playfield Character ROM,5N,2532,11,Data output,N,ROM data bit to LS194 input,Output,Check,Output label is small in crop; confirm exact A/B/C/D bit
3B,Master,Playfield Character ROM,5N,2532,12,GND,N,Ground,Power,Check,Visible ground connection
3B,Master,Playfield Character ROM,5N,2532,13,Data output,N,ROM data bit to LS194 input,Output,Check,Output label is small in crop; confirm exact A/B/C/D bit
3B,Master,Playfield Character ROM,5N,2532,14,Data output,N,ROM data bit to LS194 input,Output,Check,Output label is small in crop; confirm exact A/B/C/D bit
3B,Master,Playfield Character ROM,5N,2532,15,Data output,N,ROM data bit to LS194 input,Output,Check,Output label is small in crop; confirm exact A/B/C/D bit
3B,Master,Playfield Character ROM,5N,2532,16,Data output,N,ROM data bit to LS194 input,Output,Check,Output label is small in crop; confirm exact A/B/C/D bit
3B,Master,Playfield Character ROM,5N,2532,17,Data output,N,ROM data bit to LS194 input,Output,Check,Output label is small in crop; confirm exact A/B/C/D bit
3B,Master,Playfield Character ROM,5N,2532,18,Address input,N,PFP3,Input,Check,Visible address label; confirm pin/order on ROM crop
3B,Master,Playfield Character ROM,5N,2532,19,Address input,N,PFP5,Input,Check,Visible address label; confirm pin/order on ROM crop
3B,Master,Playfield Character ROM,5N,2532,20,/CS,Y,Tied ground active,Input,Check,Visible CS tied to ground
3B,Master,Playfield Character ROM,5N,2532,21,VPP/VCC,N,+5V rail,Power,Check,Visible +5V rail near ROM package
3B,Master,Playfield Character ROM,5N,2532,22,Address input,N,PFP7,Input,Check,Visible address label; confirm pin/order on ROM crop
3B,Master,Playfield Character ROM,5N,2532,23,Address input,N,PFP6,Input,Check,Visible address label; confirm pin/order on ROM crop
3B,Master,Playfield Character ROM,5N,2532,24,VCC,N,+5V rail,Power,Check,Visible +5V rail near ROM package
3B,Master,Playfield Character ROM,5R,2532,1,Address input,N,PFP1,Input,Check,Visible address label; confirm pin/order on ROM crop
3B,Master,Playfield Character ROM,5R,2532,2,Address input,N,PFP4,Input,Check,Visible address label; confirm pin/order on ROM crop
3B,Master,Playfield Character ROM,5R,2532,3,Address input,N,PFP2,Input,Check,Visible address label; confirm pin/order on ROM crop
3B,Master,Playfield Character ROM,5R,2532,4,Address input,N,PFP0,Input,Check,Visible address label; confirm pin/order on ROM crop
3B,Master,Playfield Character ROM,5R,2532,5,Address input,N,CUSC,Input,Check,Visible address label
3B,Master,Playfield Character ROM,5R,2532,6,Address input,N,CUSB,Input,Check,Visible address label
3B,Master,Playfield Character ROM,5R,2532,7,Address input,N,CUSA,Input,Check,Visible address label
3B,Master,Playfield Character ROM,5R,2532,8,Address input,N,4H**,Input,Check,Visible address label
3B,Master,Playfield Character ROM,5R,2532,9,Data output,N,ROM data bit to LS194 input,Output,Check,Output label is small in crop; confirm exact A/B/C/D bit
3B,Master,Playfield Character ROM,5R,2532,10,Data output,N,ROM data bit to LS194 input,Output,Check,Output label is small in crop; confirm exact A/B/C/D bit
3B,Master,Playfield Character ROM,5R,2532,11,Data output,N,ROM data bit to LS194 input,Output,Check,Output label is small in crop; confirm exact A/B/C/D bit
3B,Master,Playfield Character ROM,5R,2532,12,GND,N,Ground,Power,Check,Visible ground connection
3B,Master,Playfield Character ROM,5R,2532,13,Data output,N,ROM data bit to LS194 input,Output,Check,Output label is small in crop; confirm exact A/B/C/D bit
3B,Master,Playfield Character ROM,5R,2532,14,Data output,N,ROM data bit to LS194 input,Output,Check,Output label is small in crop; confirm exact A/B/C/D bit
3B,Master,Playfield Character ROM,5R,2532,15,Data output,N,ROM data bit to LS194 input,Output,Check,Output label is small in crop; confirm exact A/B/C/D bit
3B,Master,Playfield Character ROM,5R,2532,16,Data output,N,ROM data bit to LS194 input,Output,Check,Output label is small in crop; confirm exact A/B/C/D bit
3B,Master,Playfield Character ROM,5R,2532,17,Data output,N,ROM data bit to LS194 input,Output,Check,Output label is small in crop; confirm exact A/B/C/D bit; preserve prior caution that 5N/5R output labels need visual confirmation
3B,Master,Playfield Character ROM,5R,2532,18,Address input,N,PFP3,Input,Check,Visible address label; confirm pin/order on ROM crop
3B,Master,Playfield Character ROM,5R,2532,19,Address input,N,PFP5,Input,Check,Visible address label; confirm pin/order on ROM crop
3B,Master,Playfield Character ROM,5R,2532,20,/CS,Y,Tied ground active,Input,Check,Visible CS tied to ground
3B,Master,Playfield Character ROM,5R,2532,21,VPP/VCC,N,+5V rail,Power,Check,Visible +5V rail near ROM package
3B,Master,Playfield Character ROM,5R,2532,22,Address input,N,PFP7,Input,Check,Visible address label; confirm pin/order on ROM crop
3B,Master,Playfield Character ROM,5R,2532,23,Address input,N,PFP6,Input,Check,Visible address label; confirm pin/order on ROM crop
3B,Master,Playfield Character ROM,5R,2532,24,VCC,N,+5V rail,Power,Check,Visible +5V rail near ROM package
3B,Master,Playfield Pixel Shift,4P,74LS194,1,/CLR,Y,BLANK,Input,Check,Visible BLANK label to clear pin
3B,Master,Playfield Pixel Shift,4P,74LS194,2,Serial right input,N,Tied ground,Input,Check,Visible ground tie
3B,Master,Playfield Pixel Shift,4P,74LS194,3,Parallel A input,N,A0,Input,Check,Visible input label
3B,Master,Playfield Pixel Shift,4P,74LS194,4,Parallel B input,N,B0,Input,Check,Visible input label
3B,Master,Playfield Pixel Shift,4P,74LS194,5,Parallel C input,N,C0,Input,Check,Visible input label
3B,Master,Playfield Pixel Shift,4P,74LS194,6,Parallel D input,N,D0,Input,Check,Visible input label
3B,Master,Playfield Pixel Shift,4P,74LS194,7,Serial left input,N,Tied ground,Input,Check,Visible ground tie
3B,Master,Playfield Pixel Shift,4P,74LS194,9,S0 mode select,N,4/5F pin 3 mode rail,Input,Check,Mode rail noted by existing audit; visually confirm exact rail label
3B,Master,Playfield Pixel Shift,4P,74LS194,10,S1 mode select,N,4/5F pin 6 mode rail,Input,Check,Mode rail noted by existing audit; visually confirm exact rail label
3B,Master,Playfield Pixel Shift,4P,74LS194,11,CLK,N,B5M,Input,Check,Visible B5M label
3B,Master,Playfield Pixel Shift,4P,74LS194,12,QD output,N,PBIT3N,Output,Check,Visible output label
3B,Master,Playfield Pixel Shift,4P,74LS194,13,QC output,N,Intermediate tap,Output,Check,Pin visible; no local off-sheet label visible
3B,Master,Playfield Pixel Shift,4P,74LS194,14,QB output,N,Intermediate tap,Output,Check,Pin visible; no local off-sheet label visible
3B,Master,Playfield Pixel Shift,4P,74LS194,15,QA output,N,PBIT3F,Output,Check,Visible output label
3B,Master,Playfield Pixel Shift,4R,74LS194,1,/CLR,Y,BLANK,Input,Check,Visible BLANK label to clear pin
3B,Master,Playfield Pixel Shift,4R,74LS194,2,Serial right input,N,Tied ground,Input,Check,Visible ground tie
3B,Master,Playfield Pixel Shift,4R,74LS194,3,Parallel A input,N,A1,Input,Check,Visible input label
3B,Master,Playfield Pixel Shift,4R,74LS194,4,Parallel B input,N,B1,Input,Check,Visible input label
3B,Master,Playfield Pixel Shift,4R,74LS194,5,Parallel C input,N,C1,Input,Check,Visible input label
3B,Master,Playfield Pixel Shift,4R,74LS194,6,Parallel D input,N,D1,Input,Check,Visible input label
3B,Master,Playfield Pixel Shift,4R,74LS194,7,Serial left input,N,Tied ground,Input,Check,Visible ground tie
3B,Master,Playfield Pixel Shift,4R,74LS194,9,S0 mode select,N,4/5F pin 3 mode rail,Input,Check,Mode rail noted by existing audit; visually confirm exact rail label
3B,Master,Playfield Pixel Shift,4R,74LS194,10,S1 mode select,N,4/5F pin 6 mode rail,Input,Check,Mode rail noted by existing audit; visually confirm exact rail label
3B,Master,Playfield Pixel Shift,4R,74LS194,11,CLK,N,B5M,Input,Check,Visible B5M label
3B,Master,Playfield Pixel Shift,4R,74LS194,12,QD output,N,PBIT2N,Output,Check,Visible output label
3B,Master,Playfield Pixel Shift,4R,74LS194,13,QC output,N,Intermediate tap,Output,Check,Pin visible; no local off-sheet label visible
3B,Master,Playfield Pixel Shift,4R,74LS194,14,QB output,N,Intermediate tap,Output,Check,Pin visible; no local off-sheet label visible
3B,Master,Playfield Pixel Shift,4R,74LS194,15,QA output,N,PBIT2F,Output,Check,Visible output label
3B,Master,Playfield Pixel Shift,3P,74LS194,1,/CLR,Y,BLANK,Input,Check,Visible BLANK label to clear pin
3B,Master,Playfield Pixel Shift,3P,74LS194,2,Serial right input,N,Tied ground,Input,Check,Visible ground tie
3B,Master,Playfield Pixel Shift,3P,74LS194,3,Parallel A input,N,A2,Input,Check,Visible input label
3B,Master,Playfield Pixel Shift,3P,74LS194,4,Parallel B input,N,B2,Input,Check,Visible input label
3B,Master,Playfield Pixel Shift,3P,74LS194,5,Parallel C input,N,C2,Input,Check,Visible input label
3B,Master,Playfield Pixel Shift,3P,74LS194,6,Parallel D input,N,D2,Input,Check,Visible input label
3B,Master,Playfield Pixel Shift,3P,74LS194,7,Serial left input,N,Tied ground,Input,Check,Visible ground tie
3B,Master,Playfield Pixel Shift,3P,74LS194,9,S0 mode select,N,4/5F pin 3 mode rail,Input,Check,Mode rail noted by existing audit; visually confirm exact rail label
3B,Master,Playfield Pixel Shift,3P,74LS194,10,S1 mode select,N,4/5F pin 6 mode rail,Input,Check,Mode rail noted by existing audit; visually confirm exact rail label
3B,Master,Playfield Pixel Shift,3P,74LS194,11,CLK,N,B5M,Input,Check,Visible B5M label
3B,Master,Playfield Pixel Shift,3P,74LS194,12,QD output,N,PBIT1N,Output,Check,Visible output label
3B,Master,Playfield Pixel Shift,3P,74LS194,13,QC output,N,Intermediate tap,Output,Check,Pin visible; no local off-sheet label visible
3B,Master,Playfield Pixel Shift,3P,74LS194,14,QB output,N,Intermediate tap,Output,Check,Pin visible; no local off-sheet label visible
3B,Master,Playfield Pixel Shift,3P,74LS194,15,QA output,N,PBIT1F,Output,Check,Visible output label
3B,Master,Playfield Pixel Shift,3R,74LS194,1,/CLR,Y,BLANK,Input,Check,Visible BLANK label to clear pin
3B,Master,Playfield Pixel Shift,3R,74LS194,2,Serial right input,N,Tied ground,Input,Check,Visible ground tie
3B,Master,Playfield Pixel Shift,3R,74LS194,3,Parallel A input,N,A3,Input,Check,Visible input label
3B,Master,Playfield Pixel Shift,3R,74LS194,4,Parallel B input,N,B3,Input,Check,Visible input label
3B,Master,Playfield Pixel Shift,3R,74LS194,5,Parallel C input,N,C3,Input,Check,Visible input label
3B,Master,Playfield Pixel Shift,3R,74LS194,6,Parallel D input,N,D3,Input,Check,Visible input label
3B,Master,Playfield Pixel Shift,3R,74LS194,7,Serial left input,N,Tied ground,Input,Check,Visible ground tie
3B,Master,Playfield Pixel Shift,3R,74LS194,9,S0 mode select,N,4/5F pin 3 mode rail,Input,Check,Mode rail noted by existing audit; visually confirm exact rail label
3B,Master,Playfield Pixel Shift,3R,74LS194,10,S1 mode select,N,4/5F pin 6 mode rail,Input,Check,Mode rail noted by existing audit; visually confirm exact rail label
3B,Master,Playfield Pixel Shift,3R,74LS194,11,CLK,N,B5M,Input,Check,Visible B5M label
3B,Master,Playfield Pixel Shift,3R,74LS194,12,QD output,N,PBIT0N,Output,Check,Visible output label
3B,Master,Playfield Pixel Shift,3R,74LS194,13,QC output,N,Intermediate tap,Output,Check,Pin visible; no local off-sheet label visible
3B,Master,Playfield Pixel Shift,3R,74LS194,14,QB output,N,Intermediate tap,Output,Check,Pin visible; no local off-sheet label visible
3B,Master,Playfield Pixel Shift,3R,74LS194,15,QA output,N,PBIT0F,Output,Check,Visible output label
3B,Master,Playfield Cocktail Mux,4N,74LS157,1,Select,N,COCKTAIL,Input,Check,Seeded from playfield audit; visually confirm label
3B,Master,Playfield Cocktail Mux,4N,74LS157,2,A input,N,PBIT0N,Input,Check,Normal playfield bit 0; visually confirm label
3B,Master,Playfield Cocktail Mux,4N,74LS157,3,B input,N,PBIT0F,Input,Check,Flipped playfield bit 0; visually confirm label
3B,Master,Playfield Cocktail Mux,4N,74LS157,4,Y output,N,PBIT0,Output,Check,Output to Sheet 4B color path
3B,Master,Playfield Cocktail Mux,4N,74LS157,5,A input,N,PBIT1N,Input,Check,Normal playfield bit 1; visually confirm label
3B,Master,Playfield Cocktail Mux,4N,74LS157,6,B input,N,PBIT1F,Input,Check,Flipped playfield bit 1; visually confirm label
3B,Master,Playfield Cocktail Mux,4N,74LS157,7,Y output,N,PBIT1,Output,Check,Output to Sheet 4B color path
3B,Master,Playfield Cocktail Mux,4N,74LS157,9,Y output,N,PBIT3,Output,Check,Output to Sheet 4B color path
3B,Master,Playfield Cocktail Mux,4N,74LS157,10,B input,N,PBIT3F,Input,Check,Flipped playfield bit 3; visually confirm label
3B,Master,Playfield Cocktail Mux,4N,74LS157,11,A input,N,PBIT3N,Input,Check,Normal playfield bit 3; visually confirm label
3B,Master,Playfield Cocktail Mux,4N,74LS157,12,Y output,N,PBIT2,Output,Check,Output to Sheet 4B color path
3B,Master,Playfield Cocktail Mux,4N,74LS157,13,B input,N,PBIT2F,Input,Check,Flipped playfield bit 2; visually confirm label
3B,Master,Playfield Cocktail Mux,4N,74LS157,14,A input,N,PBIT2N,Input,Check,Normal playfield bit 2; visually confirm label
3B,Master,Playfield Cocktail Mux,4N,74LS157,15,/G enable,Y,Tied active / ground,Input,Check,LS157 enable expected active; visually confirm
3B,Master,Playfield Shift Mode,4/5F,74LS00,3,LS194 S0 mode output,N,S0 rail to LS194 pin 9,Output,High,PDF Sheet 3B audit says pin 3 drives S0
3B,Master,Playfield Shift Mode,4/5F,74LS00,6,LS194 S1 mode output,N,S1 rail to LS194 pin 10,Output,High,PDF Sheet 3B audit says pin 6 drives S1
3B,Master,Playfield Shift Mode,4/5E,74LS04,1,Inverter input,N,COCKTAIL,Input,Check,Visible near LS194 output rails; confirm exact package half
3B,Master,Playfield Shift Mode,4/5E,74LS04,2,Inverter output,Y,Inverted COCKTAIL rail,Output,Check,Visible output into normal/flipped rail selection; confirm exact destination
3B,Master,Playfield Shift Mode,4/5E,74LS04,13,Inverter input,N,COCKTAIL/local rail,Input,Check,Second visible inverter near LS194 output rails; confirm exact package half
3B,Master,Playfield Shift Mode,4/5E,74LS04,12,Inverter output,Y,Inverted COCKTAIL/local rail,Output,Check,Second visible inverter output; confirm exact destination
